query, wos_id, wos_title, PMID, search_result_rank, solr_score,Select
Brady JE Giglio R Keyes KM DiMaggio C Li G. 2017. Risk markers for fatal and non-fatal prescription drug overdose: a meta-analysis. Inj Epidemiol 4(1):24.,WOS:000356564900010,"Li, Guohua Li, Guohua Richardson, Lynne D. Doyle, John J. Li, Guohua Keyes, Katherine M. Brady, Joanne E. Brady, Joanne E. Brady, Joanne E. DiMaggio, Charles J. Keyes, Katherine M. 2015 Emergency department utilization and subsequent prescription drug overdose death ANNALS OF EPIDEMIOLOGY",25935710,2,12.080832,
O'Donnell JK Halpin J Mattson CL Goldberger BA Gladden RM. Deaths Involving Fentanyl Fentanyl Analogs and U-47700 -- 10 States July-December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1,WOS:000382135300002,"Seth, Puja Martinez, Pedro Gladden, R. Matthew 2016 Fentanyl Law Enforcement Submissions and Increases in Synthetic Opioid-Involved Overdose Deaths-27 States, 2013-2014 MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT",27560775,1,13.518165,
O'Donnell JK Halpin J Mattson CL Goldberger BA Gladden RM. Deaths Involving Fentanyl Fentanyl Analogs and U-47700 -- 10 States July-December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1,WOS:000081722900019,"Talan, DA Pinner, RW Moran, GJ 1999 Bioterrorism alleging use of anthrax and interim guidelines for management - United States, 1998 (Reprinted from MMWR Morb Mortal Wkly Rep, vol 48, pg 69-74, 1999) ANNALS OF EMERGENCY MEDICINE",NA,2,11.823215,
Data on facilities from the Substance Abuse and Mental Health Services Administration. National Survey of Substance Abuse Treatment Services information on the Behavioral Health Treatment Services Locator available at https://findtreatment.samhsa.gov/. Extracted by ONDCP on February 10 2016; county levels of urbanization are from the National Center for Health Statistics classification.,WOS:000300550100005,"Vartivarian, Sonya Alderks, Cathie E. Brown, Jonathan David 2011 Child Care in Outpatient Substance Abuse Treatment Facilities for Women: Findings from the 2008 National Survey of Substance Abuse Treatment Services JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH",21293975,1,26.562218,
Data on facilities from the Substance Abuse and Mental Health Services Administration. National Survey of Substance Abuse Treatment Services information on the Behavioral Health Treatment Services Locator available at https://findtreatment.samhsa.gov/. Extracted by ONDCP on February 10 2016; county levels of urbanization are from the National Center for Health Statistics classification.,WOS:000072039200009,"Grella, CE Young, NK 1998 Mental health and substance abuse treatment services for dually diagnosed clients: Results of a statewide survey of county administrators JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH",9516297,2,24.071728,
Data on physicians from the Drug Enforcement Administration unpublished data provided to ONDCP as of February 16 2016; county levels of urbanization are from the National Center for Health Statistics classification.,WOS:000075666600033,"Hanzlick, R 1998 National autopsy data dropped from the National Center for Health Statistics database JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",9739971,1,12.390581,
Data on physicians from the Drug Enforcement Administration unpublished data provided to ONDCP as of February 16 2016; county levels of urbanization are from the National Center for Health Statistics classification.,WOS:A1981LT56600003,"SMITH, SS 1981 MAJOR DATA SYSTEMS OF THE NATIONAL-CENTER-FOR-HEALTH-STATISTICS PUBLIC HEALTH REPORTS",7232677,2,12.054242,
Pullen E and Oser C. 2014. Barriers to Substance Abuse Treatment in Rural and Urban Communities: Counselor Perspectives. Substance Use and Misuse 49:891-901.,WOS:000334997100013,"Pullen, Erin Oser, Carrie 2014 Barriers to Substance Abuse Treatment in Rural and Urban Communities: Counselor Perspectives SUBSTANCE USE & MISUSE",24611820,1,30.648197,X
Pullen E and Oser C. 2014. Barriers to Substance Abuse Treatment in Rural and Urban Communities: Counselor Perspectives. Substance Use and Misuse 49:891-901.,WOS:000176747900012,"Smith, GL Kelly, KJ 2002 Utilizing technology: The challenges and opportunities facing substance abuse professionals in rural communities SUBSTANCE USE & MISUSE",12117071,2,14.888563,
Cummings JR Wen H Ko M and Druss BG. 2014. Race/Ethnicity and Geographic Access to Medicaid Substance Use Disorder Treatment Facilities in the United States. JAMA Psychiatry 71(2):190-196.,WOS:000331370600011,"Cummings, Janet R. Druss, Benjamin G. Wen, Hefei Ko, Michelle 2014 Race/Ethnicity and Geographic Access to Medicaid Substance Use Disorder Treatment Facilities in the United States JAMA PSYCHIATRY",24369387,1,28.88607,X
Cummings JR Wen H Ko M and Druss BG. 2014. Race/Ethnicity and Geographic Access to Medicaid Substance Use Disorder Treatment Facilities in the United States. JAMA Psychiatry 71(2):190-196.,WOS:000328950800015,"Hockenberry, Jason M. Druss, Benjamin G. Gaydos, Laura M. Cummings, Janet R. Wen, Hefei 2013 State Parity Laws and Access to Treatment for Substance Use Disorder in the United States Implications for Federal Parity Legislation JAMA PSYCHIATRY",24154931,2,16.91224,
Washington State Institute for Public Policy (May 2017). Benefit-cost technical documentation. Olympia WA. http://www.wsipp.wa.gov/TechnicalDocumentation/WsippBenefitCostTechnicalDocumentation.pdf,WOS:A1976CM52400001,"LUFT, HS 1976 BENEFIT-COST-ANALYSIS AND PUBLIC-POLICY IMPLEMENTATION - NORMATIVE TO POSITIVE ANALYSIS PUBLIC POLICY",829366,1,8.218903,
Washington State Institute for Public Policy (May 2017). Benefit-cost technical documentation. Olympia WA. http://www.wsipp.wa.gov/TechnicalDocumentation/WsippBenefitCostTechnicalDocumentation.pdf,WOS:A1977DZ67000002,"LOVINS, AB 1977 COST-RISK-BENEFIT ASSESSMENTS IN ENERGY-POLICY GEORGE WASHINGTON LAW REVIEW",NA,2,8.038043,
Ryan SM Jorm AF Lubman DI. 2010. Parenting factors associated with reduced adolescent alcohol use: a systematic review of longitudinal studies. Aust N Z J Psychiatry 44:774-783.,WOS:000282710900002,"Lubman, Dan I. Jorm, Anthony F. Lubman, Dan I. Ryan, Siobhan M. 2010 Parenting factors associated with reduced adolescent alcohol use: a systematic review of longitudinal studies AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY",20815663,1,21.81763,X
Ryan SM Jorm AF Lubman DI. 2010. Parenting factors associated with reduced adolescent alcohol use: a systematic review of longitudinal studies. Aust N Z J Psychiatry 44:774-783.,WOS:000402914800008,"Lubman, Dan I. Cheong, Tony W. K. Jorm, Anthony F. Yap, Marie B. H. Zaravinos-Tsakos, Foivos Yap, Marie B. H. Lubman, Dan I. 2017 Modifiable parenting factors associated with adolescent alcohol misuse: a systematic review and meta-analysis of longitudinal studies ADDICTION",28178373,2,14.7947235,
an der Vorst H Engels RC Meeus W Dekovic M. 2006. The impact of alcohol-specific rules parental norms,WOS:000242791000012,"Meeus, Wim Dekovic, Maja Engels, Rutger C. M. E. van der Vorst, Haske 2006 The impact of alcohol-specific rules, parental norms about early drinking and parental alcohol use on adolescents' drinking behavior JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY",17176385,1,18.802355,X
an der Vorst H Engels RC Meeus W Dekovic M. 2006. The impact of alcohol-specific rules parental norms,WOS:000238325800002,"Engels, RCME Meeus, W Van der Vorst, H Vermulst, A Dekovic, M 2006 Parental attachment, parental control, and early development of alcohol use: A longitudinal study PSYCHOLOGY OF ADDICTIVE BEHAVIORS",16784352,2,16.554379,
about early drinking and parental alcohol use on adolescents' drinking behavior. J Child Psychol Psychiatry;47:1299-1306.,WOS:000242791000012,"Meeus, Wim Dekovic, Maja Engels, Rutger C. M. E. van der Vorst, Haske 2006 The impact of alcohol-specific rules, parental norms about early drinking and parental alcohol use on adolescents' drinking behavior JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY",17176385,1,15.324785,
about early drinking and parental alcohol use on adolescents' drinking behavior. J Child Psychol Psychiatry;47:1299-1306.,WOS:A1994NG89500004,"REESE, FL MOLINA, BSG CHASSIN, L 1994 ALCOHOL EXPECTANCIES IN EARLY ADOLESCENTS - PREDICTING DRINKING BEHAVIOR FROM ALCOHOL EXPECTANCIES AND PARENTAL ALCOHOLISM JOURNAL OF STUDIES ON ALCOHOL",8022174,2,12.033751,
National Survey of American Attitudes on Substance Abuse XVI: Teens and Parents; National Center on Addiction and Substance Abuse at Columbia University; August 2011.,WOS:000244601900020,"Anderson, Christopher 2007 Teens' substance abuse NEW SCIENTIST",NA,1,15.317061,
National Survey of American Attitudes on Substance Abuse XVI: Teens and Parents; National Center on Addiction and Substance Abuse at Columbia University; August 2011.,WOS:000308989100010,"Shorter, Daryl Dermatis, Helen 2012 Addiction Training in General Psychiatry Residency: A National Survey SUBSTANCE ABUSE",22989284,2,14.852979,
PATS 2011.,WOS:A1994MT03800038,"FLETCHER, P 1994 HOW PATS WORKS ELECTRONICS",NA,1,5.097557,
PATS 2011.,WOS:A1969E957200006,"MANN, RW 1969 BACK PATS + OTHER THINGS MACHINE DESIGN",NA,2,4.4956226,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:A1988Q405900001,"GOLDMAN, W 1988 MENTAL-HEALTH AND SUBSTANCE ABUSE SERVICES IN HMOS ADMINISTRATION IN MENTAL HEALTH",NA,1,12.508306,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:000227771300009,"Cavanaugh, DA 2005 Substance abuse and mental health services for children and adolescents ADMINISTRATION AND POLICY IN MENTAL HEALTH",15844859,2,11.405978,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 3.29B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf accessed on October 26 2017.,WOS:000253360100013,"Lipsky, Sherry Caetano, Raul 2007 Impact of intimate partner violence on unmet need for mental health care: Results from the NSDUH PSYCHIATRIC SERVICES",17535943,1,16.595222,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 3.29B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf accessed on October 26 2017.,WOS:000262810600836,"Gfroerer, J. 2008 CURRENT PATTERNS OF SUBSTANCE ABUSE AMONG OLDER ADULTS: RESULTS FROM THE NATIONAL SURVEY ON DRUG USE AND HEALTH GERONTOLOGIST",NA,2,16.140287,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:A1988Q405900001,"GOLDMAN, W 1988 MENTAL-HEALTH AND SUBSTANCE ABUSE SERVICES IN HMOS ADMINISTRATION IN MENTAL HEALTH",NA,1,12.508306,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:000227771300009,"Cavanaugh, DA 2005 Substance abuse and mental health services for children and adolescents ADMINISTRATION AND POLICY IN MENTAL HEALTH",15844859,2,11.405978,
Smit E Verdurmen J Monshouwer K Smit F. 2008. Family interventions and their effect on adolescent alcohol use in general populations; a meta-analysis of randomized controlled trials. Drug Alcohol Depend 97:195-206.,WOS:000259560600001,"Smit, Filip Monshouwer, Karin Verdurmen, Jacqueline Smit, Evelien 2008 Family interventions and their effect on adolescent alcohol use in general populations; a meta-analysis of randomized controlled trials DRUG AND ALCOHOL DEPENDENCE",18485621,1,31.737642,X
Smit E Verdurmen J Monshouwer K Smit F. 2008. Family interventions and their effect on adolescent alcohol use in general populations; a meta-analysis of randomized controlled trials. Drug Alcohol Depend 97:195-206.,WOS:000359641700002,"Vermeulen-Smit, Evelien Engels, R. C. M. E. Engels, R. C. M. E. Verdurmen, J. E. E. 2015 The Effectiveness of Family Interventions in Preventing Adolescent Illicit Drug Use: A Systematic Review and Meta-analysis of Randomized Controlled Trials CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW",25998971,2,18.202015,
Mednick SC Christakis NA Fowler JH. The spread of sleep loss influences drug use in adolescent social networks. PLoS One. 2010 Mar 19;5(3):e9775.,WOS:000275809700014,"Mednick, Sara C. Christakis, Nicholas A. Fowler, James H. 2010 The Spread of Sleep Loss Influences Drug Use in Adolescent Social Networks PLOS ONE",20333306,1,23.827127,X
Mednick SC Christakis NA Fowler JH. The spread of sleep loss influences drug use in adolescent social networks. PLoS One. 2010 Mar 19;5(3):e9775.,WOS:000330207900011,"Mednick, Sara C. Christakis, Nicholas A. De Neve, Jan-Emmanuel Christakis, Nicholas A. De Neve, Jan-Emmanuel Christakis, Nicholas A. Fowler, James H. Brakefield, Tiffany A. Fowler, James H. Wilson, Helen W. 2014 Same-Sex Sexual Attraction Does Not Spread in Adolescent Social Networks ARCHIVES OF SEXUAL BEHAVIOR",23842784,2,11.027536,
NIDA (2016). Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017 September 6.,WOS:000385582800093,"Schifano, Fabrizio 2016 Prevention and Treatment of Substance Abuse EARLY INTERVENTION IN PSYCHIATRY",NA,1,17.363937,
NIDA (2016). Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017 September 6.,WOS:000299560400704,"Papadofragaki, Anastasia 2011 Early prevention for substance abuse in preschool children PSYCHOLOGY & HEALTH",NA,2,16.65131,
Bradshaw C. P. Zmuda J. H. Kellam S. G. & Ialongo N. S. 2009. Longitudinal impact of two universal,WOS:000271247700012,"Bradshaw, Catherine P. Bradshaw, Catherine P. Zmuda, Jessika H. Ialongo, Nicholas S. Kellam, Sheppard G. 2009 Longitudinal Impact of Two Universal Preventive Interventions in First Grade on Educational Outcomes in High School JOURNAL OF EDUCATIONAL PSYCHOLOGY",23766545,1,8.980925,
Bradshaw C. P. Zmuda J. H. Kellam S. G. & Ialongo N. S. 2009. Longitudinal impact of two universal,WOS:000287431300136,"Geretti, A. M. Malik, S. Kellam, P. Kellam, P. Cane, P. Johnson, J. 2010 Fitness contributions of the RT mutation H208Y ANTIVIRAL THERAPY",NA,2,6.30679,
preventive interventions in first grade on educational outcomes in high school. Journal of Educational Psychology 101(4) 926-937.,WOS:000271247700012,"Bradshaw, Catherine P. Bradshaw, Catherine P. Zmuda, Jessika H. Ialongo, Nicholas S. Kellam, Sheppard G. 2009 Longitudinal Impact of Two Universal Preventive Interventions in First Grade on Educational Outcomes in High School JOURNAL OF EDUCATIONAL PSYCHOLOGY",23766545,1,14.450358,
preventive interventions in first grade on educational outcomes in high school. Journal of Educational Psychology 101(4) 926-937.,WOS:000274218200011,"Wu, Wei Hughes, Jan N. West, Stephen G. 2010 Effect of Grade Retention in First Grade on Psychosocial Outcomes JOURNAL OF EDUCATIONAL PSYCHOLOGY",20448829,2,11.445835,
Hawkins J. D. Catalano R. F. Kosterman R. Abbott R. & Hill K. G. 1999. Preventing Adolescent Health Risk Behaviors by Strengthening Protection During Childhood. Archives of Pediatrics & Adolescent Medicine 153(3).,WOS:000079019600003,"Hawkins, JD Hill, KG Kosterman, R Abbott, R Catalano, RF 1999 Preventing adolescent health-risk behaviors by strengthening protection during childhood ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE",10086398,1,11.1917515,
Hawkins J. D. Catalano R. F. Kosterman R. Abbott R. & Hill K. G. 1999. Preventing Adolescent Health Risk Behaviors by Strengthening Protection During Childhood. Archives of Pediatrics & Adolescent Medicine 153(3).,WOS:000076713500005,"Kosterman, R Catalano, RF O'Donnell, J Hawkins, JD Hill, KG Abbott, RD 1998 Changing teaching practices to promote achievement and bonding to school AMERICAN JOURNAL OF ORTHOPSYCHIATRY",9809114,2,10.759132,
Hawkins D. 1967. On Understanding the Understanding of Children. Archives of Pediatrics & Adolescent Medicine 114(5) 513.,WOS:A1967A134300010,"HAWKINS, D 1967 ON UNDERSTANDING UNDERSTANDING OF CHILDREN AMERICAN JOURNAL OF DISEASES OF CHILDREN",6054183,1,14.653656,
Hawkins D. 1967. On Understanding the Understanding of Children. Archives of Pediatrics & Adolescent Medicine 114(5) 513.,WOS:A19679857400009,"SHAKOW, D 1967 UNDERSTANDING NORMAL PSYCHOLOGICAL FUNCTION ARCHIVES OF GENERAL PSYCHIATRY",5620291,2,9.897786,
Hawkins J. D. Arthur M. W. & Catalano R. F. 1995. Preventing substance abuse. Crime and Justice: A Review of Research 19 343-428.,WOS:A1997YC02200037,"Whitford, D 1997 Arthur, Arthur ... FORTUNE",NA,1,6.098486,
Hawkins J. D. Arthur M. W. & Catalano R. F. 1995. Preventing substance abuse. Crime and Justice: A Review of Research 19 343-428.,WOS:000071622900011,"Hawkins, W 1998 Libertarians COMMENTARY",NA,2,5.885502,
Spoth R. Randall G. K. & Shin C. 2008. School Psychology Quarterly 23(1) 70-89 ,WOS:A1992HL05700014,"SPOTH, R 1992 CORRECTION ADDICTIVE BEHAVIORS",NA,1,7.05733,
Spoth R. Randall G. K. & Shin C. 2008. School Psychology Quarterly 23(1) 70-89 ,WOS:000313697200010,"Holcombe, Randall G. Holcombe, Randall G. Holcombe, Randall G. Holcombe, Randall G. 2009 Eminent Domain HOUSING AMERICA: BUILDING OUT OF A CRISIS",NA,2,5.2695856,
"Kuklinski Margaret R. et al. 2012. Cost-benefit analysis of Communities That Care outcomes at eighth grade."" Prevention Science 13.2: 150-161. """,WOS:000301789300005,"Kuklinski, Margaret R. Catalano, Richard F. Hawkins, J. David Briney, John S. 2012 Cost-Benefit Analysis of Communities That Care Outcomes at Eighth Grade PREVENTION SCIENCE",22108900,1,21.393229,X
"Kuklinski Margaret R. et al. 2012. Cost-benefit analysis of Communities That Care outcomes at eighth grade."" Prevention Science 13.2: 150-161. """,WOS:000214792600001,"Kuklinski, Margaret R. 2015 Benefit-Cost Analysis of Prevention and Intervention Programs for Youth and Young Adults: Introduction to the Special Issue JOURNAL OF BENEFIT-COST ANALYSIS",NA,2,11.737977,
Lockman J. E. & Wells K. C. 2002. Contextual social-cognitive mediators and child outcome: A test of the,WOS:000263132900001,"Lockman, Jeffrey J. 2009 Editorial CHILD DEVELOPMENT",19236386,1,5.4330473,
Lockman J. E. & Wells K. C. 2002. Contextual social-cognitive mediators and child outcome: A test of the,WOS:A1992GV26300005,"SONDAK, E 1992 LOCKMAN,EVELYN,ELIZABETH - OBITUARY DANCE MAGAZINE",NA,2,4.97717,
theoretical model in the Coping Power program. Development and Psycho.pathology 14(04) 945-967.,WOS:000180016100014,"Wells, KC Lochman, JE 2002 Contextual social-cognitive mediators and child outcome: A test of the theoretical model in the Coping Power program DEVELOPMENT AND PSYCHOPATHOLOGY",12549711,1,10.614693,
theoretical model in the Coping Power program. Development and Psycho.pathology 14(04) 945-967.,WOS:000332382500009,"Marshall, Peter J. 2013 Coping with complexity: Developmental systems and multilevel analyses in developmental psychopathology DEVELOPMENT AND PSYCHOPATHOLOGY",24342842,2,7.381147,
Catalano R. F. Haggerty K. P. Fleming C. B. & Skinner M. L. (2007). Focus on Families. Therapist's Guide to Evidence-Based Relapse Prevention 237-257.,WOS:000249678200006,"Haggerty, Kevin P. Fleming, Charles B. Catalano, Richard F. Gainey, Randy R. 2007 Teaching parenting skills in a methadone treatment setting SOCIAL WORK RESEARCH",NA,1,9.096491,
Catalano R. F. Haggerty K. P. Fleming C. B. & Skinner M. L. (2007). Focus on Families. Therapist's Guide to Evidence-Based Relapse Prevention 237-257.,WOS:000285326900012,"Catalano, Richard F. White, Helene R. Fleming, Charles B. Haggerty, Kevin P. 2011 Is nonmedical prescription opiate use a unique form of illicit drug use? ADDICTIVE BEHAVIORS",20864261,2,8.576253,
NIDA. 2016. Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017 September 6.,WOS:000385582800093,"Schifano, Fabrizio 2016 Prevention and Treatment of Substance Abuse EARLY INTERVENTION IN PSYCHIATRY",NA,1,17.363937,
NIDA. 2016. Principles of Substance Abuse Prevention for Early Childhood. Retrieved from https://www.drugabuse.gov/publications/principles-substance-abuse-prevention-early-childhood on 2017 September 6.,WOS:000299560400704,"Papadofragaki, Anastasia 2011 Early prevention for substance abuse in preschool children PSYCHOLOGY & HEALTH",NA,2,16.65131,
HHS. 2017. Facing Addiction in America. U. S. Surgeon General's Report on Alcohol Drugs and Health. Retrieved from https://addiction.surgeongeneral.gov/.,WOS:000402588400004,"Horrigan, Bonnie J. 2017 Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health EXPLORE-THE JOURNAL OF SCIENCE AND HEALING",NA,1,14.199577,
HHS. 2017. Facing Addiction in America. U. S. Surgeon General's Report on Alcohol Drugs and Health. Retrieved from https://addiction.surgeongeneral.gov/.,WOS:000411473600010,"McGovern, Thomas F. Nelson, Jessica Bundoc-Baronia, Regina Comiskey, George 2017 Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health: A Commentary ALCOHOLISM TREATMENT QUARTERLY",NA,2,12.783845,
HHS. 2017. Facing Addiction in America. U. S. Surgeon General's Report on Alcohol Drugs and Health. Retrieved from https://addiction.surgeongeneral.gov/.,WOS:000402588400004,"Horrigan, Bonnie J. 2017 Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health EXPLORE-THE JOURNAL OF SCIENCE AND HEALING",NA,1,14.199577,
HHS. 2017. Facing Addiction in America. U. S. Surgeon General's Report on Alcohol Drugs and Health. Retrieved from https://addiction.surgeongeneral.gov/.,WOS:000411473600010,"McGovern, Thomas F. Nelson, Jessica Bundoc-Baronia, Regina Comiskey, George 2017 Facing Addiction in America: The Surgeon General's Report on Alcohol, Drugs, and Health: A Commentary ALCOHOLISM TREATMENT QUARTERLY",NA,2,12.783845,
Madras BK. 2010 Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington DC. Ann N Y Acad Sci. 1187:370-402.,WOS:000277795700019,"Madras, Bertha K. 2010 Office of National Drug Control Policy A scientist in drug policy in Washington, DC ADDICTION REVIEWS 2",20201863,1,22.221691,X
Madras BK. 2010 Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington DC. Ann N Y Acad Sci. 1187:370-402.,WOS:000279531600001,"Ritter, Alison 2010 Conceptualising 'balance' in national drug policy DRUG AND ALCOHOL REVIEW",20636648,2,12.196894,
Knight JR Harris SK Sherritt L Van Hook S Lawrence N Brooks T Carey P Kossack R Kulig J. 2007 Nov. Prevalence of positive substance abuse screen results among adolescent primary care patients. Arch Pediatr Adolesc Med. 161(11):1035-41.,WOS:000250701400002,"Van Hook, Shari Harris, Sion K. Sherritt, Lon Lawrence, Nohelani Brooks, Traci Carey, Peggy Kossack, Robert Knight, John R. Kulig, John 2007 Prevalence of positive substance abuse screen results among adolescent primary care patients ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE",17984404,1,29.343777,X
Knight JR Harris SK Sherritt L Van Hook S Lawrence N Brooks T Carey P Kossack R Kulig J. 2007 Nov. Prevalence of positive substance abuse screen results among adolescent primary care patients. Arch Pediatr Adolesc Med. 161(11):1035-41.,WOS:000246503100011,"Kossack, Robert Brooks, Traci Kulig, John Van Hook, Shari Knight, John R. Harris, Sion Kim Carey, Peggy 2007 The Six T's: Barriers to screening teens for substance abuse in primary care JOURNAL OF ADOLESCENT HEALTH",17448404,2,20.018057,
Ramos MM Sebastian RA Murphy M Oreskovich K Condon TP. 2017 Apr-Jun. Adolescent substance use: Assessing the knowledge attitudes and practices of a school-based health center workforce. Subst Abus. 38(2):230-236.,WOS:000400999800019,"Oreskovich, Kristin Sebastian, Rachel A. Ramos, Mary M. Ramos, Mary M. Condon, Timothy P. Murphy, Mary 2017 Adolescent substance use: Assessing the knowledge, attitudes, and practices of a school-based health center workforce SUBSTANCE ABUSE",28328312,1,26.435896,X
Ramos MM Sebastian RA Murphy M Oreskovich K Condon TP. 2017 Apr-Jun. Adolescent substance use: Assessing the knowledge attitudes and practices of a school-based health center workforce. Subst Abus. 38(2):230-236.,WOS:000368699600245,"Condon, T. Murphy, M. Ramos, M. Sebastian, R. 2016 CAPTURING THE SUBSTANCE USE KNOWLEDGE, ATTITUDES AND PRACTICES OF NEW MEXICO'S SCHOOL-BASED HEALTH CENTER WORKFORCE JOURNAL OF INVESTIGATIVE MEDICINE",NA,2,20.933279,
Harris BR Shaw BA Sherman BR Lawson HA. 2016. Screening brief intervention and referral to treatment for adolescents: Attitudes perceptions and practice of New York school-based health center providers. Subst Abus. 37(1):161-7.,WOS:000372743900027,"Sherman, Barry R. Harris, Brett R. Lawson, Hal A. Shaw, Benjamin A. 2016 Screening, brief intervention, and referral to treatment for adolescents: Attitudes, perceptions, and practice of New York school-based health center providers SUBSTANCE ABUSE",25774987,1,26.65746,X
Harris BR Shaw BA Sherman BR Lawson HA. 2016. Screening brief intervention and referral to treatment for adolescents: Attitudes perceptions and practice of New York school-based health center providers. Subst Abus. 37(1):161-7.,WOS:000368353800003,"Lawson, Hal Harris, Brett Shaw, Benjamin Sherman, Barry 2016 Barriers to Addressing Adolescent Substance Use: Perceptions of New York School-Based Health Center Providers JOURNAL OF SCHOOL HEALTH",26762820,2,18.735313,
Mitchell AM Fioravanti M Kane I Puskar K Hagle H Boucek L. 2015 Jun. A call for universal alcohol drug screening. Am J Nurs. 115(6):11.,WOS:000379539100023,"Mitchell, Ann M. Talcott, Kimberly S. Fioravanti, Marie Lee, Heeyoung Lindsay, Dawn Hagle, Holly Frank, Linda R. Kane, Irene Puskar, Kathy Albrecht, Susan A. 2016 Interprofessional collaborative practice incorporating training for alcohol and drug use screening for healthcare providers in rural areas JOURNAL OF INTERPROFESSIONAL CARE",27295396,1,12.503872,
Mitchell AM Fioravanti M Kane I Puskar K Hagle H Boucek L. 2015 Jun. A call for universal alcohol drug screening. Am J Nurs. 115(6):11.,WOS:000344970700008,"Kane, Irene Mitchell, Ann M. Puskar, Kathy Talcott, Kimberly S. Hagle, Holly 2014 Faculty Buy-In to Teach Alcohol and Drug Use Screening JOURNAL OF CONTINUING EDUCATION IN NURSING",25153430,2,12.442838,
Farrelly MC Niederdeppe J & Yarsevich J. (2003). Youth tobacco prevention mass media campaigns: Past present and future directions BMJ: TC Accessed at: http://tobaccocontrol.bmj.com/content/12/suppl_1/i35.,WOS:000183177000006,"Yarsevich, J Niederdeppe, J Farrelly, MC 2003 Youth tobacco prevention mass media campaigns: past, present, and future directions TOBACCO CONTROL",12773784,1,8.3387165,
Farrelly MC Niederdeppe J & Yarsevich J. (2003). Youth tobacco prevention mass media campaigns: Past present and future directions BMJ: TC Accessed at: http://tobaccocontrol.bmj.com/content/12/suppl_1/i35.,WOS:A1982NU81000011,"FARRELLY, MC 1982 THEORY-Z FORTUNE",NA,2,7.5377655,
Gibson LA Parvanta SA Jeong M & Hornik RC. (2014). Evaluation of a mass media campaign promoting using help to quit smoking American Journal of Preventive Medicine 4(5): 487-495.,WOS:000334768400009,"Parvanta, Sarah A. Gibson, Laura A. Jeong, Michelle Hornik, Robert C. 2014 Evaluation of a Mass Media Campaign Promoting Using Help to Quit Smoking AMERICAN JOURNAL OF PREVENTIVE MEDICINE",24745639,1,5.712316,
Gibson LA Parvanta SA Jeong M & Hornik RC. (2014). Evaluation of a mass media campaign promoting using help to quit smoking American Journal of Preventive Medicine 4(5): 487-495.,WOS:A1979GP10800049,"GIBSON, M 1979 PARIS + EXHIBITION OF LA-RUCHE ARTISTS ARTNEWS",NA,2,5.2800446,
Das JK et al. (2016). Interventions for adolescent substance abuse: An overview of systematic reviews Journal of Adolescent Health 59: s61-75.,WOS:000385442700007,"Arshad, Ahmed Bhutta, Zulfiqar A. Salam, Rehana A. Das, Jai K. Finkelstein, Yaron Bhutta, Zulfiqar A. Finkelstein, Yaron 2016 Interventions for Adolescent Substance Abuse: An Overview of Systematic Reviews JOURNAL OF ADOLESCENT HEALTH",27664597,1,16.742558,
